Data prepared by Tyler R. & Dave F.,,,,
Data corresponds to inputs from 54 balancing authorities summed together post anomaly identification and imputation.,,,,
This provides coverage over all of CONUS.,,,,
The two excluded balancing authorities (SEC and OVEC) account for less than 0.1% of the CONUS total.,,,,
This file corresponds to an updated data cleaning round with one additional year of data included compared to that found in the final version of data published in,,,,
Scientific Data: https://zenodo.org/record/3690240,,,,
Data was querried from the EIA database on 28 Sept 2020,,,,
,,,,
Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,
,,,,
BEGIN_DATA,,,,
year,month,day,hour,demand (MW)
2019,1,1,1,1021951.79
2019,1,1,2,1012644.714
2019,1,1,3,961774.6449
2019,1,1,4,875170.3705
2019,1,1,5,803011.5658
2019,1,1,6,696254.8298
2019,1,1,7,592645.5757
2019,1,1,8,559822.6202
2019,1,1,9,546867.8376
2019,1,1,10,538264.6325
2019,1,1,11,533876.9901
2019,1,1,12,546602.9387
2019,1,1,13,569489.1561
2019,1,1,14,596157.7187
2019,1,1,15,619495.2954
2019,1,1,16,650880.6503
2019,1,1,17,676392.7485
2019,1,1,18,709538.2693
2019,1,1,19,740294.0515
2019,1,1,20,741913.1499
2019,1,1,21,748681.7985
2019,1,1,22,764031.2156
2019,1,1,23,807393.7142
2019,1,1,24,849973.6564
2019,1,2,1,892231.2494
2019,1,2,2,871199.3669
2019,1,2,3,826657.8505
2019,1,2,4,777269.145
2019,1,2,5,718715.9947
2019,1,2,6,652324.0565
2019,1,2,7,573240.0436
2019,1,2,8,550712.683
2019,1,2,9,544531.0524
2019,1,2,10,550809.1668
2019,1,2,11,564519.7501
2019,1,2,12,602494.611
2019,1,2,13,656343.408
2019,1,2,14,710996.8926
2019,1,2,15,734916.8411
2019,1,2,16,745300.5199
2019,1,2,17,754488.4554
2019,1,2,18,770712.3724
2019,1,2,19,781936.3944
2019,1,2,20,778481.761
2019,1,2,21,790969.6262
2019,1,2,22,848509.2436
2019,1,2,23,947329.3544
2019,1,2,24,1055702.316
2019,1,3,1,1014045.554
2019,1,3,2,899106.2944
2019,1,3,3,840344.8817
2019,1,3,4,790423.3582
2019,1,3,5,731799.1771
2019,1,3,6,688287.7148
2019,1,3,7,653271.3746
2019,1,3,8,636219.7153
2019,1,3,9,631658.411
2019,1,3,10,641054.2598
2019,1,3,11,664626.7061
2019,1,3,12,735130.8146
2019,1,3,13,864511.7819
2019,1,3,14,926720.8798
2019,1,3,15,911957.1092
2019,1,3,16,884972.5481
2019,1,3,17,867281.9504
2019,1,3,18,871820.7126
2019,1,3,19,879182.9726
2019,1,3,20,873021.5337
2019,1,3,21,884077.9009
2019,1,3,22,941342.2867
2019,1,3,23,1044860.772
2019,1,3,24,1157866.279
2019,1,4,1,1122184.729
2019,1,4,2,1012830.561
2019,1,4,3,956371.8153
2019,1,4,4,866161.495
2019,1,4,5,794478.506
2019,1,4,6,746574.2583
2019,1,4,7,709108.5494
2019,1,4,8,689563.9521
2019,1,4,9,682462.213
2019,1,4,10,689093.3865
2019,1,4,11,709997.2514
2019,1,4,12,779131.9571
2019,1,4,13,914336.3122
2019,1,4,14,967262.9334
2019,1,4,15,929866.9306
2019,1,4,16,889214.7123
2019,1,4,17,861797.7394
2019,1,4,18,858815.9381
2019,1,4,19,860439.1135
2019,1,4,20,851378.0041
2019,1,4,21,860968.4665
2019,1,4,22,917152.0673
2019,1,4,23,1015255.087
2019,1,4,24,1121562.849
2019,1,5,1,1076289.154
2019,1,5,2,962256.1221
2019,1,5,3,902184.4219
2019,1,5,4,812203.5228
2019,1,5,5,739137.6572
2019,1,5,6,689060.4671
2019,1,5,7,650419.881
2019,1,5,8,630383.766
2019,1,5,9,622514.5189
2019,1,5,10,628385.1984
2019,1,5,11,649715.1882
2019,1,5,12,717641.8972
2019,1,5,13,830562.1761
2019,1,5,14,883766.7326
2019,1,5,15,856790.0451
2019,1,5,16,820526.3101
2019,1,5,17,800674.5198
2019,1,5,18,802894.0613
2019,1,5,19,806670.1802
2019,1,5,20,799883.1409
2019,1,5,21,809151.0024
2019,1,5,22,859512.8363
2019,1,5,23,950327.4118
2019,1,5,24,1056811.194
2019,1,6,1,1013501.619
2019,1,6,2,901294.7781
2019,1,6,3,843298.98
2019,1,6,4,765156.4192
2019,1,6,5,700140.4796
2019,1,6,6,651973.2224
2019,1,6,7,614911.9411
2019,1,6,8,595493.4402
2019,1,6,9,587076.5671
2019,1,6,10,593044.5271
2019,1,6,11,613099.1074
2019,1,6,12,675721.1957
2019,1,6,13,768188.4484
2019,1,6,14,828295.8542
2019,1,6,15,811170.5781
2019,1,6,16,782051.4809
2019,1,6,17,768207.5345
2019,1,6,18,772388.2489
2019,1,6,19,777194.0941
2019,1,6,20,770766.45
2019,1,6,21,778751.4447
2019,1,6,22,826461.2328
2019,1,6,23,906700.0712
2019,1,6,24,997821.9405
2019,1,7,1,942971.636
2019,1,7,2,825965.8112
2019,1,7,3,768988.4161
2019,1,7,4,707567.9162
2019,1,7,5,652802.6747
2019,1,7,6,613101.2309
2019,1,7,7,602360.1768
2019,1,7,8,568218.4624
2019,1,7,9,556544.0235
2019,1,7,10,552184.7217
2019,1,7,11,553045.3731
2019,1,7,12,579929.9889
2019,1,7,13,619281.687
2019,1,7,14,654303.016
2019,1,7,15,679274.6665
2019,1,7,16,711207.7122
2019,1,7,17,734787.8887
2019,1,7,18,761695.3968
2019,1,7,19,783726.6144
2019,1,7,20,778501.6938
2019,1,7,21,782400.5802
2019,1,7,22,794598.9529
2019,1,7,23,831560.0622
2019,1,7,24,867966.2688
2019,1,8,1,904510.8624
2019,1,8,2,880710.6444
2019,1,8,3,832305.9536
2019,1,8,4,781142.4547
2019,1,8,5,720019.6299
2019,1,8,6,654727.7767
2019,1,8,7,597419.1165
2019,1,8,8,562110.5285
2019,1,8,9,553598.5108
2019,1,8,10,550510.2169
2019,1,8,11,550740.7172
2019,1,8,12,569131.5178
2019,1,8,13,599124.9843
2019,1,8,14,636305.5777
2019,1,8,15,665456.0658
2019,1,8,16,696977.4219
2019,1,8,17,718758.1603
2019,1,8,18,747961.6301
2019,1,8,19,777342.6979
2019,1,8,20,778762.6528
2019,1,8,21,786228.7997
2019,1,8,22,804089.8212
2019,1,8,23,847025.0595
2019,1,8,24,892030.3034
2019,1,9,1,935763.083
2019,1,9,2,913739.0126
2019,1,9,3,862468.5612
2019,1,9,4,802465.4148
2019,1,9,5,734346.9459
2019,1,9,6,662087.8875
2019,1,9,7,579605.8072
2019,1,9,8,557586.6362
2019,1,9,9,551967.8829
2019,1,9,10,559245.2252
2019,1,9,11,581306.4419
2019,1,9,12,646333.5573
2019,1,9,13,752477.1192
2019,1,9,14,815112.6605
2019,1,9,15,811609.2879
2019,1,9,16,799060.7879
2019,1,9,17,796194.3124
2019,1,9,18,805718.9439
2019,1,9,19,815410.8501
2019,1,9,20,812660.9028
2019,1,9,21,823268.2572
2019,1,9,22,876120.4774
2019,1,9,23,961370.9447
2019,1,9,24,1059896.04
2019,1,10,1,1007207.039
2019,1,10,2,887647.6558
2019,1,10,3,825111.6893
2019,1,10,4,746823.9567
2019,1,10,5,678480.6867
2019,1,10,6,630312.1773
2019,1,10,7,595576.6878
2019,1,10,8,576838.6003
2019,1,10,9,569171.3827
2019,1,10,10,575148.2927
2019,1,10,11,595299.7849
2019,1,10,12,659555.7108
2019,1,10,13,762915.303
2019,1,10,14,824266.0987
2019,1,10,15,815529.4183
2019,1,10,16,795868.4014
2019,1,10,17,786541.0301
2019,1,10,18,792534.0348
2019,1,10,19,800892.3157
2019,1,10,20,796203.5985
2019,1,10,21,806556.0444
2019,1,10,22,859079.0134
2019,1,10,23,944286.6855
2019,1,10,24,1043599.22
2019,1,11,1,996095.1697
2019,1,11,2,881187.7121
2019,1,11,3,821648.76
2019,1,11,4,746479.1763
2019,1,11,5,679627.6747
2019,1,11,6,633291.8615
2019,1,11,7,599830.9249
2019,1,11,8,581366.7854
2019,1,11,9,573666.6493
2019,1,11,10,579954.3226
2019,1,11,11,599942.2411
2019,1,11,12,663361.3915
2019,1,11,13,761460.4638
