Data prepared by Tyler R. & Dave F.,,,,
Data corresponds to inputs from 54 balancing authorities summed together post anomaly identification and imputation.,,,,
This provides coverage over all of CONUS.,,,,
The two excluded balancing authorities (SEC and OVEC) account for less than 0.1% of the CONUS total.,,,,
This file corresponds to an updated data cleaning round with one additional year of data included compared to that found in the final version of data published in,,,,
Scientific Data: https://zenodo.org/record/3690240,,,,
Data was querried from the EIA database on 28 Sept 2020,,,,
,,,,
Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,
,,,,
BEGIN_DATA,,,,
year,month,day,hour,demand (MW)
2019,1,1,1,2.1097E+11
2019,1,1,2,2.03619E+11
2019,1,1,3,1.91369E+11
2019,1,1,4,1.78458E+11
2019,1,1,5,1.6602E+11
2019,1,1,6,1.56552E+11
2019,1,1,7,1.48162E+11
2019,1,1,8,1.42027E+11
2019,1,1,9,1.37194E+11
2019,1,1,10,1.34974E+11
2019,1,1,11,1.35829E+11
2019,1,1,12,1.39801E+11
2019,1,1,13,1.45044E+11
2019,1,1,14,1.52409E+11
2019,1,1,15,1.63468E+11
2019,1,1,16,1.73773E+11
2019,1,1,17,1.80522E+11
2019,1,1,18,1.83066E+11
2019,1,1,19,1.8206E+11
2019,1,1,20,1.80236E+11
2019,1,1,21,1.79738E+11
2019,1,1,22,1.83822E+11
2019,1,1,23,1.97111E+11
2019,1,1,24,2.09494E+11
2019,1,2,1,2.14834E+11
2019,1,2,2,2.14555E+11
2019,1,2,3,2.06588E+11
2019,1,2,4,1.92875E+11
2019,1,2,5,1.77776E+11
2019,1,2,6,1.64588E+11
2019,1,2,7,1.54491E+11
2019,1,2,8,1.48379E+11
2019,1,2,9,1.4623E+11
2019,1,2,10,1.4881E+11
2019,1,2,11,1.59388E+11
2019,1,2,12,1.81571E+11
2019,1,2,13,2.05788E+11
2019,1,2,14,2.22811E+11
2019,1,2,15,2.33519E+11
2019,1,2,16,2.40498E+11
2019,1,2,17,2.42755E+11
2019,1,2,18,2.4116E+11
2019,1,2,19,2.40271E+11
2019,1,2,20,2.38669E+11
2019,1,2,21,2.37259E+11
2019,1,2,22,2.40356E+11
2019,1,2,23,2.52114E+11
2019,1,2,24,2.62919E+11
2019,1,3,1,2.65938E+11
2019,1,3,2,2.61482E+11
2019,1,3,3,2.47131E+11
2019,1,3,4,2.27568E+11
2019,1,3,5,2.06051E+11
2019,1,3,6,1.87444E+11
2019,1,3,7,1.74094E+11
2019,1,3,8,1.66137E+11
2019,1,3,9,1.62039E+11
2019,1,3,10,1.6281E+11
